,new_model_optim,new_model_fast,new_model_baseline,old_model_optim,old_model_fast,old_model_baseline
sys_cpu_percent,54.2,98.2,,0.0,69.2,
sys_mem_percent,79.3,77.1,,77.8,77.8,
sys_proc_rss_mb,283.9,278.6,,277.9,281.6,
train_duration_seconds,0.514,0.328,0.077,0.489,0.214,0.08
train_mae,2.572,3.717,3.917,2.621,3.717,3.909
train_mse,10.49,21.82,24.47,10.89,21.79,24.39
train_r2,0.879,0.748,0.717,0.874,0.748,0.718
train_rmse,3.239,4.672,4.947,3.3,4.668,4.938
val_mae,3.178,3.796,4.004,3.17,3.798,3.996
val_mse,16.24,23.26,26.02,16.14,23.2,25.91
val_r2,0.817,0.737,0.706,0.818,0.738,0.707
val_rmse,4.03,4.823,5.101,4.017,4.817,5.09
eval_duration_seconds,0.014,0.019,0.015,0.016,0.015,0.013
rmse_degradation,-0.048,-0.124,-0.127,-0.046,-0.121,-0.127
rmse_degradation_pct,-1.191,-2.566,-2.497,-1.138,-2.515,-2.499
test_mae,3.132,3.725,3.93,3.129,3.735,3.919
test_mse,15.85,22.08,24.73,15.77,22.05,24.63
test_r2,0.822,0.752,0.722,0.823,0.752,0.723
test_rmse,3.982,4.699,4.973,3.972,4.696,4.963
