feature,importance
categorical__Road_traffic_density_Low,7221.85009765625
numeric__Delivery_person_Ratings,5249.66552734375
categorical__Weather_conditions_Sunny,4669.78173828125
categorical__Road_traffic_density_Jam,4001.8095703125
numeric__multiple_deliveries,3895.240478515625
categorical__Weather_conditions_Fog,3519.5830078125
numeric__Vehicle_condition,2559.99853515625
categorical__Festival_Yes,2445.02783203125
numeric__Delivery_person_Age,1918.6099853515625
categorical__Weather_conditions_Sandstorms,1342.33056640625
categorical__Weather_conditions_Windy,1247.6656494140625
categorical__Weather_conditions_Stormy,1160.0098876953125
distance__distance_km,1108.2757568359375
rush_hour__is_rush_hour,864.1414184570312
categorical__Road_traffic_density_Medium,806.5692138671875
categorical__Festival_nan,728.9631958007812
categorical__City_Urban,727.572021484375
categorical__City_Semi-Urban,669.7891235351562
categorical__City_nan,308.83319091796875
categorical__Road_traffic_density_nan,191.19729614257812
categorical__Weather_conditions_nan,112.15986633300781
categorical__Type_of_vehicle_scooter,83.86133575439453
categorical__Type_of_vehicle_electric_scooter,77.69638061523438
categorical__Type_of_order_Snack,61.87019348144531
categorical__Type_of_order_Meal,61.10319519042969
categorical__Type_of_vehicle_motorcycle,51.860145568847656
categorical__Type_of_order_Drinks,51.1181526184082
weekday__is_weekday,46.245277404785156
