         7386417 function calls (7212361 primitive calls) in 3.388 seconds

   Ordered by: cumulative time
   List reduced from 14778 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.393    3.393 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/scripts/profile_training.py:29(_run_training)
 2954/114    0.007    0.000    2.396    0.021 <frozen importlib._bootstrap>:1165(_find_and_load)
  2867/75    0.006    0.000    2.395    0.032 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
  2433/22    0.005    0.000    2.393    0.109 <frozen importlib._bootstrap_external>:934(exec_module)
  6273/97    0.002    0.000    2.391    0.025 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
  2674/14    0.004    0.000    2.390    0.171 <frozen importlib._bootstrap>:666(_load_unlocked)
  3678/22    0.085    0.000    2.387    0.108 {built-in method builtins.exec}
        1    0.000    0.000    2.184    2.184 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/src/food_on_the_fly/train_model.py:1(<module>)
  1012/76    0.001    0.000    2.153    0.028 {built-in method builtins.__import__}
19175/15519    0.006    0.000    2.120    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    1.182    1.182 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/hydra/main.py:80(decorated_main)
        1    0.000    0.000    1.180    1.180 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/hydra/_internal/utils.py:306(_run_hydra)
        1    0.000    0.000    1.111    1.111 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/__init__.py:1(<module>)
        3    0.000    0.000    1.108    0.369 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/hydra/_internal/utils.py:218(run_and_report)
        1    0.000    0.000    1.107    1.107 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/hydra/_internal/utils.py:430(_run_app)
        1    0.000    0.000    1.107    1.107 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/hydra/_internal/utils.py:458(<lambda>)
        1    0.000    0.000    1.107    1.107 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/hydra/_internal/hydra.py:98(run)
        1    0.002    0.002    1.041    1.041 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/hydra/core/utils.py:99(run_job)
        1    0.000    0.000    1.007    1.007 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/src/food_on_the_fly/train_model.py:36(main)
        1    0.000    0.000    0.877    0.877 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/xgboost/__init__.py:1(<module>)
        1    0.000    0.000    0.869    0.869 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/xgboost/tracker.py:1(<module>)
        1    0.000    0.000    0.869    0.869 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/xgboost/core.py:1(<module>)
        1    0.000    0.000    0.854    0.854 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/xgboost/_data_utils.py:1(<module>)
        1    0.000    0.000    0.852    0.852 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/xgboost/compat.py:1(<module>)
        1    0.000    0.000    0.784    0.784 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/sklearn/__init__.py:1(<module>)
        1    0.000    0.000    0.778    0.778 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/sklearn/base.py:1(<module>)
        1    0.000    0.000    0.776    0.776 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/sklearn/utils/__init__.py:1(<module>)
        1    0.000    0.000    0.766    0.766 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/sklearn/utils/_chunking.py:1(<module>)
        1    0.000    0.000    0.766    0.766 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:1(<module>)
        1    0.000    0.000    0.765    0.765 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/sklearn/utils/validation.py:1(<module>)
        1    0.000    0.000    0.763    0.763 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/artifacts/__init__.py:1(<module>)
        1    0.000    0.000    0.740    0.740 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/sklearn/utils/_array_api.py:1(<module>)
        1    0.000    0.000    0.677    0.677 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/sklearn/utils/fixes.py:1(<module>)
        1    0.000    0.000    0.589    0.589 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/scipy/stats/__init__.py:1(<module>)
        1    0.000    0.000    0.575    0.575 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/sklearn/__init__.py:379(log_model)
        1    0.000    0.000    0.575    0.575 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/models/model.py:1058(log)
69856/60935    0.008    0.000    0.572    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.538    0.538 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/sklearn/__init__.py:175(save_model)
     2433    0.008    0.000    0.536    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.485    0.485 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/tracking/__init__.py:1(<module>)
        1    0.000    0.000    0.449    0.449 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/tracking/client.py:1(<module>)
        2    0.000    0.000    0.440    0.220 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/entities/__init__.py:194(__getattr__)
        1    0.000    0.000    0.440    0.440 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/entities/evaluation_dataset.py:1(<module>)
2682/2671    0.003    0.000    0.437    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.433    0.433 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/data/__init__.py:1(<module>)
        1    0.001    0.001    0.408    0.408 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/scipy/stats/_stats_py.py:1(<module>)
  184/183    0.000    0.000    0.408    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
  184/183    0.405    0.002    0.408    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.402    0.402 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/data/dataset_registry.py:1(<module>)
        1    0.000    0.000    0.394    0.394 /Users/avivkatz/Desktop/MLOps/food_on_the_fly/.venv/lib/python3.11/site-packages/mlflow/data/pandas_dataset.py:1(<module>)
